Name,Address,latitude,longitude
New Amsterdam,2201 N Killingsworth St,45.56288255,-122.6894866064261
Milk Glass Market,2150 N Killingsworth,45.5626078,-122.6898069
 (Bus Stop / 7-11),KILLINGSWORTH N GREELEY,45.562852,-122.695701
 (El Burrito Azteca),6500 N DENVER,45.5700622,-122.6871425
Evergreen Market Area,6500 N. DENVER,45.5700622,-122.6871425
Presso Coffee Bar,2020 N McClellan St,45.582995600000004,-122.68743791154303
,8233 N DENVER AVE,45.58292945,-122.68723362477098
 (Kenton Library),8226 N DENVER,45.5828074,-122.6864628364672
Posies Bakery & Cafe,8208 N Denver Ave,45.582580899999996,-122.68659360009505
Smoke It Up   (Advertiser),8213 N. DENVER,45.582646600000004,-122.68717910284204
Kind Heart Dispensary,8217 N Denver Ave,45.582725249999996,-122.6871794
Triple Crown Market,8203 N Denver Ave,39.24381495959596,-94.51855535353536
,8134 N Denver Ave,39.24109594546339,-94.51699195373648
Mayfly Tap Room,8350 N Fenwick Ave,43.667482,-116.270329
 (Green Zebra),3011 N. LOMBARD,45.5773984,-122.6976855534119
Portland Pot Shop,4730 N Lombard St,45.57950065,-122.71647944223761
Pypes Palace,4760 N LOMBARD,45.5796289,-122.7169123
New Seasons (Cust. Rack Inside Double Doors),6300 N LOMBARD,45.5847641,-122.73105053048124
New Seasons  (Front Entrance),6300 N LOMBARD,45.5847641,-122.73105053048124
Assumption Village Retirement Home,9121 N Burr Ave,45.5910533,-122.74078717042002
Rose City Taqueria,7007 N Fessenden St,45.593723749999995,-122.73551776811169
Shamrock Shopping Center,8116 N Fessenden St,45.5959627,-122.74647827912827
Club Sky High,8957 N Lombard,45.592139714285715,-122.75628528571428
Liquor Store,8915 N Lombard,45.59186925,-122.75616249698244
Bookshop,8713 N Lombard St,45.5910507,-122.754943
St. Johns Square,8539 N LOMBARD,45.5902706,-122.7545457
Chop,8537 N Lombard St,45.5902453,-122.754461
Stormbreaker,8409 N Lombard St,45.58988575,-122.753038
Signal Station (Pizza),8302 N Lombard St,45.58920745,-122.75231833737341
St. Johns Library,7510 N CHARLESTON AVE,45.5900361,-122.75105275
Food Carts,N Richmond & Lombard,40.553581,-74.201301
Leisure,8002 N LOMBARD,45.589097949999996,-122.74822385
Burr Food Carts,7316 N Lombard St,45.58774614285714,-122.74219414285713
Stadium Fred Meyer Box1,NW 20th & Burnside,45.5232197,-122.6929169
Stadium Fred Meyer Box2,100 NW 20TH PLACE,45.5238492,-122.693107
Taco Bell   ,NW 21ST & BURNSIDE,45.5231518,-122.6944561
Elephants Delicatessan - ,115 NW 22nd Ave,45.52397015,-122.69669676595049
Cannabliss Nw,2231 W Burnside St,45.5234568,-122.6971367
Se,NW Flanders & 23rd,45.5256067,-122.6985408
Mcmenamins - Ram'S Head,2282 NW Hoyt St,45.5268254,-122.698341
23 Hoyt -  (Sw),529 NW 23RD,45.5268057,-122.6986927
 (Nw),701 NW 23RD,43.87356795,-92.49637615
Tea Social,806 NW 23RD,42.7330491,-73.70806140169213
Oregon Weedery,2312 NW Kearney St,45.5289186,-122.69899716185648
Little Big Burger,930 NW 23rd Ave,25.782021800000003,-80.23369343392136
 (Btwn Alotta Gelato & Blue Star Donut),931 NW 23rd Ave,25.7819098,-80.23311745271005
Franklin Ide Apartments,2240 NW Lovejoy St,45.5296151,-122.6976658
Spielman'S Bagels,2314 NW LOVEJOY,45.5296027,-122.69902785372517
